neighbourhood,average_price_per_night,average_latitude,average_longitude
Strathcona,145.7692,49.2716576923,-123.09658307692308
"West Point Grey",144.8400,49.2642374000,-123.19704704
"Downtown Eastside",144.4300,49.2803863000,-123.09710271999995
Kitsilano,138.8425,49.2667483356,-123.16331588630138
Downtown,135.4194,49.2784674318,-123.12176976774212
"Mount Pleasant",132.3947,49.2631697281,-123.09758299649123
Shaughnessy,129.4667,49.2442400000,-123.13907866666666
"Arbutus Ridge",129.1538,49.2473880769,-123.16539038461536
"West End",126.6938,49.2852157688,-123.13196481249997
Fairview,126.5313,49.2623439063,-123.13005859375004
Grandview-Woodland,124.9459,49.2728477748,-123.06566364144139
"Dunbar Southlands",123.0233,49.2476716279,-123.18518511627907
"South Cambie",121.4444,49.2523607407,-123.12102185185185
Sunset,119.8444,49.2220637778,-123.09220555555558
Killarney,115.3600,49.2229508000,-123.03862360000001
"Riley Park",112.0000,49.2463000842,-123.10057781052632
"Kensington-Cedar Cottage",107.2205,49.2486896457,-123.07680662992124
Hastings-Sunrise,106.6778,49.2776185556,-123.04231533333338
Kerrisdale,106.0455,49.2260800000,-123.15236181818186
Victoria-Fraserview,94.7727,49.2202598182,-123.06262272727272
Marpole,90.5833,49.2124498958,-123.12718283333334
Renfrew-Collingwood,89.0267,49.2470720000,-123.04102653333332
Oakridge,82.7667,49.2263674333,-123.12292335000001
