id,name,host_id,host_name,neighbourhood,latitude,longtitude,room_type,price,reviews_per_month,license
13490,Vancouver's best kept secret,52467,Iris,Kensington-Cedar Cottage,49.25622,-123.06607,Entire home/apt,150,2.88,no license number
14267,EcoLoft Vancouver,56030,Peter & Alison,Kensington-Cedar Cottage,49.24922,-123.08139,Entire home/apt,150,0.68,21-156500
16254,Close to PNE/Hastings Park Garden level suite,63238,Jason,Hastings-Sunrise,49.27721,-123.04086,Entire home/apt,350,0.23,19-162421
17158,Vancouver 4br 3ba house 20min to DT,48673,Elaine,Renfrew-Collingwood,49.25277,-123.03774,Entire home/apt,195,1.68,18-573474
17765,"Central location, nice little apartment",68672,James,Mount Pleasant,49.26132,-123.10845,Entire home/apt,94,0.13,21-156705
18270,private rm in clean central 2BR apt,70437,Ran,Mount Pleasant,49.26557,-123.096,Private room,51,0.05,no license number
18589,Commercial Drive B&B,71508,Sylvain & Alexis,Grandview-Woodland,49.27569,-123.07057,Private room,110,0.05,22-156002
18795,*Best choice in downtown-5 Stars * -2,70137,Kai,West End,49.28299,-123.13008,Private room,75,1.64,18-573700
20085,Bright & Cheerful Uptown Garden Suite,75986,Tony And Rachel,Kensington-Cedar Cottage,49.25636,-123.08636,Entire home/apt,99,0.83,Exempt
24273,Walker's paradise in Kitsilano,1267409,Julia,Kitsilano,49.26216,-123.1715,Entire home/apt,140,3.24,20-175617
26047,The Alpha Downtown by COMFYSUITES,109845,Alicia,Downtown,49.28086,-123.12375,Entire home/apt,169,0.9,no license number
32746,Designer Urban Park View Townhouse,52118,Liliana,Downtown,49.2792,-123.105,Entire home/apt,127,0.49,no license number
33150,?Suite on Main?  near  Q.E Park,143724,Ili,Riley Park,49.24677,-123.1048,Entire home/apt,125,2.69,22-156658
35102,FURNISHED 2Br + 2Br Yaletown PRIME location!,2283739,Karina,Downtown,49.27743,-123.11869,Entire home/apt,140,1.65,#20-198999
42645,The Charlie Downtown by COMFYSUITES,109845,Alicia,Downtown,49.28036,-123.1234,Entire home/apt,179,0.14,no license number
49736,Boutique Studio Apartment in Kits!,227101,Sarah,Kitsilano,49.26778,-123.14674,Entire home/apt,1950,0.29,no license number
72659,Central Convenient Vibrant Neighbourhood!,375168,Donna,Grandview-Woodland,49.27345,-123.07031,Entire home/apt,210,0.58,21-157075
73841,Amazing Downtown Vancouver Condo!,386761,Ying Ying,Downtown,49.27591,-123.12359,Entire home/apt,129,0.7,no license number
77157,Room with a Garden View!,412802,Anne,Arbutus Ridge,49.2452,-123.16544,Entire home/apt,155,0.51,22-156332
98830,Your Downtown Executive Suite,520997,Cristina,Downtown,49.27936,-123.12443,Entire home/apt,149,3.49,18-550967
125176,Main Street Vineyard,622926,Mark,Riley Park,49.24615,-123.09462,Private room,85,0.23,22-156951
170137,Family friendly Point Grey Home,381497,Catherine,Dunbar Southlands,49.25757,-123.18966,Entire home/apt,175,0.55,22-156180
172827,Charming and Homely Downtown Penthouse,19982,Fernande,Downtown,49.28034,-123.12648,Entire home/apt,400,0.06,18 549804 SA
174135,VANCOUVER'S BEST PRIVATE SUITE/LOFT,831892,Hollie,Downtown Eastside,49.27857,-123.0899,Entire home/apt,90,0.34,no license number
182451,KITS SUPER CENTRAL DELIGHTFULL APT!,874660,Penny,Kitsilano,49.25808,-123.16824,Entire home/apt,131,0.1,18-610-361
219261,A Real Gem in the Heart of Kits,1135259,Rami,Kitsilano,49.2719,-123.15043,Entire home/apt,200,0.15,21-157255
254657,Heritage Loft in heart of Gastown,241920,Scott,Downtown Eastside,49.28375,-123.10383,Entire home/apt,250,5.01,22-156187
256178,Luxury Coach House in Kitsilano,1267409,Julia,Kitsilano,49.26293,-123.17143,Entire home/apt,170,1.92,21-156342
258636,FABULOUS Luxury Downtown Vancouver!,948852,Ian,Downtown,49.27839,-123.12852,Entire home/apt,99,4.33,no license number
306178,Sunset views - LGBTQ2+ friendly,1574553,Michelle,Renfrew-Collingwood,49.23273,-123.02747,Private room,101,0.31,18-596029
